dpi,time,nutrient,round,replicate,pav_conc,pav_log_conc,rpv_conc,rpv_log_conc
5,1,P,1,1,106.66101810378913,4.6696557504465055,148.88244353751335,5.003157024998295
5,1,N,1,2,107.32523982480076,4.675863848674172,477.40504465343366,6.168365280781103
5,1,N+P,1,1,108.19816931610598,4.683964446824754,3525.343111517072,8.167733047110056
8,2,P,1,2,295.4303520426973,5.6884331137786734,10942.26075999255,9.300387705448621
8,2,P,2,3,254.43462921158164,5.539043943317036,2103.914793679597,7.651555075736991
12,3,low,1,2,124.0563849489432,4.820736179582628,367.02365445918554,5.905426299544791
12,3,low,4,5,687.403492486968,6.532921445122885,156698.50841103707,11.962078909543461
12,3,P,1,1,145.9826367336693,4.983487688154304,2866.7506036878835,7.960934473501067
12,3,P,1,2,304.6129538612264,5.719041967006652,66352.09250712917,11.102730576672693
12,3,P,2,3,264.069870637475,5.576213729635225,10200.878343067348,9.230229107630358
12,3,P,3,4,82.03146982232278,4.407102951961199,3457.883069122955,8.14841185107433
12,3,P,4,5,222.02376671533068,5.402784433418322,5339.276182984354,8.582845376509404
12,3,N,1,1,432.46742676367296,6.069507009694486,27285.970588750886,10.214127951234342
12,3,N,1,2,217.58680955175538,5.382597895275679,9786.61264203063,9.188770673816627
12,3,N,3,4,145.95485655006345,4.983297372183737,24405.887059638902,10.10257965511568
12,3,N,4,5,142.1704952337189,4.957027008032683,22071.456196177707,10.002040477870597
12,3,N+P,1,2,364.4621221651121,5.898422628806451,17573.345198609164,9.77413855569446
12,3,N+P,2,3,97.65447317032502,4.5814354644693775,9138.958127376756,9.120301667510612
16,4,low,2,3,324.12490980655554,5.781128965591318,28144.911582395198,10.24512185639009
16,4,low,4,5,611.5807183858876,6.416046947046961,6829.230172710702,8.828967233578425
16,4,low,5,6,164.0317804729782,5.100060192422444,202.8037868094352,5.312238944173048
16,4,P,1,1,574.1613081923739,6.352910381564905,6058.260496976576,8.709177991154034
16,4,P,1,2,97.52654370868673,4.580124584118373,5966.434939061706,8.693904865377796
16,4,N,1,2,168.2041726593023,5.1251785549558875,14038.78315081227,9.54957900365366
16,4,N,4,5,158.97038874642425,5.068717950577253,27275.69152441652,10.213751164162327
16,4,N+P,1,1,562.2929111978286,6.332022908421301,6563.4411437817935,8.789270309003102
16,4,N+P,1,2,140.54645919351776,4.945538104530884,196098.80106794482,12.186373898284794
16,4,N+P,2,3,300.7324048771454,5.706220848994211,112330.84569696701,11.629203775290325
19,5,low,2,3,328.26373087246196,5.793817342841048,94768.60828832223,11.459193497206282
19,5,P,1,1,205.43480268990385,5.325128721748485,358.63659083668824,5.882309593993082
19,5,P,4,5,67.31125386971469,4.209327442131909,165486.49089718887,12.016644844468813
19,5,N,1,1,94.94370840770073,4.553284172900677,8322.104282502274,9.02667042040673
19,5,N,1,2,203.86842999704825,5.317474834778993,38172.38187782457,10.549867545621668
19,5,N,5,6,92.73040005128468,4.529696358954502,183.1367110643696,5.21023292893129
19,5,N+P,2,3,440.4345714921071,6.087761901976689,24617.893147516344,10.111228821239843
19,5,N+P,4,5,94.16209900257776,4.545017754574608,7272.760332490187,8.891891186564717
22,6,low,1,1,851.8447615151659,6.7474043054336,52135.53639749288,10.861602075796313
22,6,low,2,3,663.7946411944091,6.497972826331337,7125.342252574002,8.871413039432168
22,6,P,4,5,436.7668616255392,6.079399555310809,2502.466021194044,7.825031933152757
22,6,N,1,1,58.962651793547785,4.076904223015339,6036.127020975413,8.705517863565493
22,6,N,4,5,2006.9262310489783,7.604359592290721,18450.950148688233,9.822871146716555
22,6,N+P,3,4,71.28824150586438,4.266731398053872,6963.639141616773,8.848457481856924
26,7,low,2,3,165.33145656382808,5.107952286563931,2177.571766912122,7.685965666581761
26,7,low,4,5,90.35282826295354,4.503722319956747,11280.102198018496,9.33079558511903
26,7,P,1,1,285.1853732821561,5.653139401398036,1714.5346583549792,7.44689698654554
26,7,P,4,5,234.41940167839542,5.457111825942982,877.7642769556354,6.777378080317156
26,7,N,1,2,70.8594213793928,4.260697933716615,8072.334216043838,8.996197965542493
26,7,N,4,5,760.3490693565368,6.633777629618516,13825.155419997986,9.534245068280184
26,7,N+P,1,2,98.55053973312019,4.590569510327722,101301.45570465381,11.525856060367026
26,7,N+P,2,3,61.37431448829756,4.116991416818867,78461.15079428775,11.270358886929595
26,7,N+P,5,6,100.79037725775703,4.61304288736759,1148.9428946864896,7.04659757660191
29,8,low,1,1,410.16116343463926,6.016550164009942,9812.904922291193,9.19145362720523
29,8,low,3,4,1711.6969247747181,7.445240511108731,39007.54802966335,10.571510445607622
29,8,P,3,4,590.5457075860395,6.381047037529264,54491.77839434231,10.90580511412187
29,8,P,4,5,1237.6367056563554,7.120958957558828,12358.141163800403,9.422070328423494
29,8,N,1,1,169.96968285988754,5.135620085028177,22450.29633246967,10.01905909274786
29,8,N,1,2,4147.474352504286,8.330254838200823,28753.97999600345,10.266531471287903
29,8,N,4,5,130.1357363263188,4.868578031322667,34949.56411742593,10.461661275979777
29,8,N+P,1,1,244.61914452000127,5.499702488873808,34644.59200462888,10.45289691753461
29,8,N+P,1,2,416.03268800334706,6.030763834105381,62672.393750252864,11.045676338599893
29,8,N+P,2,3,103.93289526176021,4.643745453018142,95.48749933520999,4.5589953419054146
29,8,N+P,4,5,64.3141372915059,4.1637794716415355,54602.95780533655,10.907843332524644
