inoculation,nutrient,nutrient_t,prev,.lower,.upper,.width,.point,.interval,mechanisms
single,low,low,0.7586921916982078,0.5558706256959076,0.9376077404240877,0.95,mean,hdi,density
single,N,N,0.6779939480784692,0.4217669840172796,0.9065551069617699,0.95,mean,hdi,density
single,P,P,0.7392239644374129,0.5270432564553282,0.9369863004486696,0.95,mean,hdi,density
single,N+P,N+P,0.7118019964775757,0.4354860830662783,0.949558044076294,0.95,mean,hdi,density
co,low,low,0.722934260061167,0.4964349818210929,0.9337081783408777,0.95,mean,hdi,density
co,N,N,0.8325335060621805,0.6483362425894836,0.9773318824512152,0.95,mean,hdi,density
co,P,P,0.7467584615812906,0.5343767302055503,0.9339672361782427,0.95,mean,hdi,density
co,N+P,N+P,0.7159785901167963,0.44907958079778226,0.9460786774355984,0.95,mean,hdi,density
single,low,low,0.7461552766517209,0.5325842226604943,0.9333897481673005,0.95,mean,hdi,non-density
single,N,N,0.8851177876825078,0.7567800627949502,0.9812934756361771,0.95,mean,hdi,non-density
single,P,P,0.5915607499235869,0.343658785455451,0.838795491365529,0.95,mean,hdi,non-density
single,N+P,N+P,0.8004945545410271,0.5782162645312946,0.9754336754708857,0.95,mean,hdi,non-density
co,low,low,0.7668652370695686,0.5651780231020956,0.94505426578071,0.95,mean,hdi,non-density
co,N,N,0.6452467963708598,0.42985818467705383,0.8550605554746689,0.95,mean,hdi,non-density
co,P,P,0.7368311292810387,0.5472093806877655,0.9031290090353069,0.95,mean,hdi,non-density
co,N+P,N+P,0.6925909995291435,0.4429654288433483,0.9231289411370375,0.95,mean,hdi,non-density
single,low,low,0.7586921916982078,0.5558706256959076,0.9376077404240877,0.95,mean,hdi,all
single,N,N,0.8478291460114699,0.695529066786446,0.9727965470922091,0.95,mean,hdi,all
single,P,P,0.5836448223251903,0.34207041198970334,0.825458875081399,0.95,mean,hdi,all
single,N+P,N+P,0.7848418731556416,0.5881517815740995,0.9520480179981552,0.95,mean,hdi,all
co,low,low,0.7461312246089938,0.5241294947007397,0.9262313570429936,0.95,mean,hdi,all
co,N,N,0.7548150373960384,0.5354843970004012,0.9503989667322874,0.95,mean,hdi,all
co,P,P,0.7374364866130575,0.5487891004017131,0.904578103881515,0.95,mean,hdi,all
co,N+P,N+P,0.6702253603365839,0.45084807918827946,0.8776772025514392,0.95,mean,hdi,all
